Name,Date,GUID
Drums on Parade,2017-07-09T00:00:00,112e4896-1b2f-49e2-93e4-306291ae355a
River City Rhapsody - Rochester,2017-07-09T00:00:00,7a592ffa-cf90-4464-88cd-5d71aca58f19
Seattle Summer Music Games,2017-07-08T00:00:00,d3d1f3cb-83f9-46a9-a8e9-10a11e3ddbad
DCI Orlando presented by Lone Star Percussion,2017-07-08T00:00:00,bf7eefed-3c90-48d2-ae47-1929590eb857
DCI Minnesota presented by U.S. Marine Drum and Bugle Corps,2017-07-08T00:00:00,5bf66329-43e2-4d49-9c2b-686642a64fcb
DCI Capital Classic Corps Show,2017-07-08T00:00:00,d8d56464-3e5e-4dd5-b1f3-fbfc6745d3b0
Drums of Fire,2017-07-07T00:00:00,82adba84-a533-4619-8c0c-6ec5dc0a86ac
CrownBEAT,2017-07-07T00:00:00,2d9197ca-045e-4976-aa05-da0e577bc92f
Show of Shows,2017-07-07T00:00:00,5b8bb7fa-ba66-47e9-b4de-e02e1fe8201c
The Northwoods Encore,2017-07-06T00:00:00,19a7b50e-8814-4ba0-b8c6-8a2be2e1090d
Live in Chickasha,2017-07-05T00:00:00,ea7f6b9b-99b4-4f05-ae02-1418eb497fb0
The Beanpot Invitational,2017-07-04T00:00:00,ff0b3e36-19e7-4575-bc23-9562112129c4
The Thunder of Drums,2017-07-03T00:00:00,f8e5f03a-18f8-4b75-8be1-53d039defcba
Rotary Music Festival,2017-07-03T00:00:00,06670f85-a9b5-434e-a469-ab00f6d00140
Drums Across the Desert presented by MarchingApparel.com,2017-07-03T00:00:00,6af4317f-9876-466c-992a-b80252e817c9
Summer Music Preview,2017-07-03T00:00:00,8eb10207-612e-4828-b942-cd40467781fd
Western Corps Connection,2017-07-02T00:00:00,3b0a8d40-7d22-4266-b60e-2317cff691f2
River City Rhapsody - La Crosse,2017-07-02T00:00:00,30c11524-6317-4135-8c40-702ae1d816f1
Drum Corps: An American Tradition,2017-07-02T00:00:00,37a3c739-45d1-40ce-85f8-f2bdf3be8845
Cavalcade of Brass,2017-07-01T00:00:00,78db24ce-051f-4ed2-abde-167b32d2e210
Drum Corps at the Rose Bowl,2017-07-01T00:00:00,fdba2e41-90ca-4280-b492-ad22e0714fd5
Drum Corps: An American Tradition,2017-06-30T00:00:00,dfc10f85-fc10-414b-8cb1-3ef8b1e930bf
DCI Central Indiana presented by Woodwind and Brasswind,2017-06-30T00:00:00,9f4682bd-ea18-47c1-8c72-c42e01e4d276
Corps at the Crest - San Diego,2017-06-30T00:00:00,1f87ba45-3dc7-4c90-a8aa-cdf4813cb973
Drums on the Ohio presented by Band Shoppe,2017-06-28T00:00:00,6b74c1f3-afef-44cb-8d69-36ca260bb68e
Innovations in Brass: Pittsburgh,2017-06-27T00:00:00,543c766f-e55e-4e5a-8921-8a2badbb29fc
Summer Music Games in Cincinnati,2017-06-26T00:00:00,ce6091a7-e7c0-4255-93c5-d7c1659b1dbe
DCI West presented by Lone Star Percussion,2017-06-25T00:00:00,1efaa9ff-1527-4dc0-95a8-20f133a9bfa9
Pageant of Drums,2017-06-25T00:00:00,ed7aacc8-3cd9-4c31-8427-b643ae7b4a8f
Innovations in Brass - Massillon,2017-06-24T00:00:00,5762d420-effa-474f-af4c-0c6428ccbdc8
The Whitewater Classic,2017-06-24T00:00:00,df5b6e2c-0e00-4cea-ae02-11d88b2c60ec
Moonlight Classic,2017-06-24T00:00:00,c935b253-54f5-448a-b459-a1b083c1b843
MidCal Champions Showcase,2017-06-23T00:00:00,0754868a-28b5-4a04-9cd3-5b7c7206fd08
DCI Tour Premiere presented by DeMoulin Bros. and Co.,2017-06-22T00:00:00,17b1492d-934d-469d-b0d1-4c9fff2f81ff
DCI South Florida,2017-07-10T00:00:00,973760d4-0171-425c-a6dd-1ca8cae22370
Diablo Valley Classic,2017-07-09T00:00:00,6e6dc9e8-2328-4509-95a6-1f3afe4efc8d
Drums Along the Columbia,2017-07-10T00:00:00,8e6bd30b-4063-40f0-95bd-577909dca959
